2011-03-02 00:05:42,2011-03-02 06:05:42,132.204.2.131,93.4.47.231,/revue/etudfr/2005/v41/n2/011379ar.html,sfr.fr,EU,France,"48.86, 2.35",Europe/Paris,Firefox,Windows Vista,p,etudfr,v41,n2,2005,011379,6,False,False
2011-03-02 00:06:03,,132.204.2.131,173.178.199.21,/revue/crimino/2001/v34/n2/027506ar.pdf,google,NA,Canada,"43.6425, -79.3872",,IE,Windows XP,p,crimino,v34,n2,2001,027506,10,False,False
2011-03-02 00:06:02,2011-03-02 00:06:02,132.204.2.131,173.178.188.44,/revue/smq/1996/v21/n1/032376ar.pdf,google,NA,Canada,"45.5148, -73.5739",America/Toronto,Firefox,Windows XP,p,smq,v21,n1,1996,032376,15,False,False
2011-03-02 00:05:51,2011-03-02 13:05:51,132.204.2.131,203.72.87.11,/revue/ri/1975/v30/n2/028604ar.pdf,,AS,"Taiwan, Province of China","23.9833, 121.6",Asia/Taipei,IE,Windows XP,p,ri,v30,n2,1975,028604,36,False,False
2011-03-02 00:06:50,2011-03-02 00:06:50,132.204.2.131,198.168.152.20,/revue/crimino/1994/v27/n2/017354ar.pdf,,NA,Canada,"45.5, -73.5833",America/Toronto,IE,Windows XP,p,crimino,v27,n2,1994,017354,17,False,False
2011-03-02 00:06:51,2011-03-01 21:06:51,132.204.2.131,207.46.12.25,/revue/CRIMINO/1991/v24/n2/017309ar.html,,NA,United States of America,"47.674, -122.1215",America/Los_Angeles,IE,Windows XP,p,crimino,v24,n2,1991,017309,20,False,False
2011-03-02 00:08:03,,132.204.2.131,67.71.70.5,/revue/SMQ/2003/v28/n2/008625ar.html,erudit,NA,Canada,"43.6425, -79.3872",,IE,Windows 7,p,smq,v28,n2,2003,008625,8,False,False
2011-03-02 00:08:05,2011-03-02 00:08:05,132.204.2.131,173.177.54.215,/revue/cqd/2010/v39/n1/045055ar.pdf,,NA,Canada,"45.6488, -73.8466",America/Toronto,Firefox,Windows XP,p,cqd,v39,n1,2010,045055,1,False,False
2011-03-02 00:08:13,2011-03-02 00:08:13,132.204.2.131,74.58.162.183,/revue/ri/2008/v63/n4/019540ar.html?vue=integral,orientaction.ca,NA,Canada,"46.0606, -71.9477",America/Toronto,Firefox,Windows XP,p,ri,v63,n4,2008,019540,3,False,False
2011-03-02 00:08:29,,132.204.2.131,67.71.70.5,/revue/SMQ/2003/v28/n2/008625ar.html,,NA,Canada,"43.6425, -79.3872",,IE,Windows 7,p,smq,v28,n2,2003,008625,8,False,False
2011-03-02 00:08:43,2011-03-02 06:08:43,132.204.2.131,82.250.192.29,/revue/RSE/2004/v30/n3/012087ar.html,google,EU,France,"48.86, 2.35",Europe/Paris,IE,Windows XP,p,rse,v30,n3,2004,012087,7,False,False
2011-03-02 00:07:52,2011-03-02 00:07:52,132.204.2.131,74.56.173.14,/revue/cqd/1977/v6/n3/600750ar.pdf,google,NA,Canada,"46.8, -71.25",America/Toronto,Firefox,Windows Vista,p,cqd,v6,n3,1977,600750,34,False,False
2011-03-02 00:08:58,2011-03-02 10:38:58,132.204.2.131,117.197.112.174,/revue/cine/2004/v15/n1/011660ar.pdf,google,AS,India,"30.78, 76.69",Asia/Kolkata,Chrome,Windows XP,p,cine,v15,n1,2004,011660,7,False,False
2011-03-02 00:07:26,2011-03-02 10:37:26,132.204.2.131,122.164.186.167,/revue/cine/2002/v12/n2/024878ar.pdf,google,AS,India,"13.0833, 80.2833",Asia/Kolkata,Firefox,Ubuntu,p,cine,v12,n2,2002,024878,9,False,False
2011-03-02 00:09:58,2011-03-02 06:09:58,132.204.2.131,94.111.125.25,/revue/philoso/1982/v9/n2/203203ar.pdf,google,EU,Belgium,"51.25, 4.5",Europe/Brussels,IE,Windows 7,p,philoso,v9,n2,1982,203203,29,False,False
2011-03-02 00:10:08,2011-03-02 16:10:08,132.204.2.131,121.44.198.99,/revue/ae/1981/v57/n4/601007ar.pdf,google,OC,Australia,"-33.8666, 151.2082",Australia/Sydney,IE,Windows 7,p,ae,v57,n4,1981,601007,30,False,False
2011-03-02 00:10:22,2011-03-02 13:10:22,132.204.2.131,72.14.202.82,/revue/ae/1981/v57/n4/601007ar.pdf,,AS,"Taiwan, Province of China","25.0392, 121.525",Asia/Taipei,IE,Windows 7,p,ae,v57,n4,1981,601007,30,False,False
2011-03-02 00:10:38,2011-03-02 06:10:38,132.204.2.131,88.185.158.21,/revue/ms/2004/v20/n3/007849ar.html,google images,EU,France,"43.7854, 7.2446",Europe/Paris,Chrome,Windows Vista,p,ms,v20,n3,2004,007849,7,False,False
2011-03-02 00:10:43,2011-03-02 06:10:43,132.204.2.131,88.185.158.21,/revue/ms/2004/v20/n3/007849ar.html,google images,EU,France,"43.7854, 7.2446",Europe/Paris,Chrome,Windows Vista,p,ms,v20,n3,2004,007849,7,False,False
